X,Y,FID,solmutunnu,linjoja,lyhyt_nro,nimi_s,nimi_r,nousijat,nettiosoit,P_koord,I_koord
25.069386134793621,60.358419389231159,8630,4810253,0,V8153,Korson uimahalli,Korso simhall,0, ,6694625,2559202
25.03974728325214,60.300463118646014,8631,4600202,0,V6002,Hiekkaharjuntie,Sandkullavägen,0,http://aikataulut.hsl.fi/pysakit/fi/4600202.html,6688142,2557668
25.078421272445318,60.278073974231802,8632,4640213,5,V6413,Kuusikkotie,Sexansvägen,92,http://aikataulut.hsl.fi/pysakit/fi/4640213.html,6685682,2559847
24.959660165802724,60.281982648578548,8633,4510231,2,V5131,Herttuankuja,Hertiggränden,74,http://aikataulut.hsl.fi/pysakit/fi/4510231.html,6686016,2553270
25.045335741615343,60.321979594560744,8634,4700224,6,V7024,Koivutie,Björkvägen,11,http://aikataulut.hsl.fi/pysakit/fi/4700224.html,6690544,2557939
25.044531550274829,60.293953964716145,8635,4610252,2,V6152,Tikkurilan matkakesk,Dickursby rescentrum,0,http://aikataulut.hsl.fi/pysakit/fi/4610252.html,6687421,2557944
25.075911228798823,60.351886197134455,8636,4810254,0,V8154,Korson kirkko,Korso kyrka,0, ,6693903,2559574
25.036887198700157,60.323805059421964,8637,4700225,4,V7025,Leinelä,Lejle,5,http://aikataulut.hsl.fi/pysakit/fi/4700225.html,6690740,2557469
24.959000838408059,60.281071836337794,8638,4510232,2,V5132,Mamsellintie,Mamsellvägen,359,http://aikataulut.hsl.fi/pysakit/fi/4510232.html,6685914,2553235
25.043071985891022,60.301496303761802,8639,4600203,4,V6003,Ailakkitie,Bläravägen,22,http://aikataulut.hsl.fi/pysakit/fi/4600203.html,6688260,2557850
25.044570791421769,60.294052414963971,8640,4610253,1,V6153,Tikkurilan matkakesk,Dickursby rescentrum,0,http://aikataulut.hsl.fi/pysakit/fi/4610253.html,6687432,2557946
25.078082664444526,60.282618575124815,8641,4640214,2,V6414,Kyytitie,Skjutsvägen,15,http://aikataulut.hsl.fi/pysakit/fi/4640214.html,6686188,2559820
25.070766545293058,60.350231204231335,8642,4810255,0,V8155,Metsonkoti,Tjädervägens ser.hus,0, ,6693714,2559293
25.040980919449488,60.30171909900502,8643,4600204,4,V6004,Ailakkitie,Bläravägen,49,http://aikataulut.hsl.fi/pysakit/fi/4600204.html,6688283,2557734
25.068682494932354,60.284274290433238,8644,4640215,2,V6415,Sammaltie,Mossvägen,1,http://aikataulut.hsl.fi/pysakit/fi/4640215.html,6686364,2559297
25.04460960963155,60.294132822630893,8645,4610254,1,V6154,Tikkurilan matkakesk,Dickursby rescentrum,0,http://aikataulut.hsl.fi/pysakit/fi/4610254.html,6687441,2557948
24.958929676530911,60.279259251737926,8646,4510233,2,V5133,Kavaljeerintie,Kavaljersvägen,19,http://aikataulut.hsl.fi/pysakit/fi/4510233.html,6685712,2553234
25.037484325963987,60.323225900277727,8647,4700226,4,V7026,Leinelä,Lejle,1,http://aikataulut.hsl.fi/pysakit/fi/4700226.html,6690676,2557503
25.054548798138164,60.35062995831958,8648,4810256,0,V8156,Salkolantie,Salkolavägen,0, ,6693744,2558397
25.045469403451271,60.303505971774115,8649,4600205,3,V6005,Talkootie,Talkovägen,37,http://aikataulut.hsl.fi/pysakit/fi/4600205.html,6688486,2557979
25.047353238908524,60.283232328915709,8650,4640216,3,V6416,Heidehofinkuja,Heidehofsgränden,13,http://aikataulut.hsl.fi/pysakit/fi/4640216.html,6686229,2558119
